model,dataset,windows,MAPE,MAE,RMSE,NMAE,univariate
arima,traditional/ev-sensors,3,40.98605471955108,16.76435474608447,20.7185587365654,0.28803164499591194,1.0
arima,traditional/voip,3,0.17924147794846004,0.007826268585131935,0.010091735394340546,0.0017860436491282997,1.0
arima,traditional/fred_md/fred_md1,3,138.2447701290627,7367.1120404254325,8485.38198991176,0.754558727153149,1.0
arima,traditional/fred_md/fred_md2,3,24.762346205682174,1.3556165455566935,1.7164345405079742,0.2307789070690727,1.0
arima,traditional/fred_md/fred_md3,3,37.833434774988085,556.2860064472233,634.6587598467344,0.38851144860936343,1.0
arima,traditional/fred_md/fred_md4,3,15.786271572818734,12.06059021908539,14.762203584713339,0.14204943587194832,1.0
arima,traditional/fred_md/fred_md5,3,4425.382989640381,1810.5850674777103,1965.622854272892,2.7245596945941397,1.0
arima,traditional/fred_md/fred_md6,3,202.98167909897657,3.9643203482156095,5.115699085642642,0.8263620293581077,1.0
arima,traditional/fred_md/fred_md7,3,115.40459276949493,74.0229151877661,86.43710956660568,0.5216395077151419,1.0
arima,traditional/fred_md/fred_md8,3,770.035563481293,1351.0414960966807,1606.3431066595779,1.3213907487195806,1.0
arima,traditional/sleep_lab,3,6.740968417110189,5.1816976694491546,6.090495803469679,0.06827446705982734,1.0
arima,traditional/cgm,3,31.263408785184783,43.63340621569836,54.94892910533415,0.2859614271214939,1.0
arima,traditional/website_visitors,3,27.328072929102635,1063.8055254097194,1288.2514480543243,0.23125654683912242,1.0
arima,collections/stock_nasdaqtrader,3,63.66791755525204,0.3996545715882247,0.45609320188687114,0.4895342615938128,1.0
arima,collections/wikipedia,3,57.926859394449764,756.9742640919279,1374.3920457083286,0.5007903235430806,1.0
