model,dataset,windows,MAPE,MAE,RMSE,NMAE,univariate
historical_inertia,sequential/cifar100_timeseries_csvs,3,5537.92321154632,2.2241239147039584,3.334272199928448,19.5337412344894,1.0
historical_inertia,sequential/KITTI,3,130.6726925868105,294.9399523609702,334.6359164752059,0.5437543482837643,1.0
historical_inertia,sequential/ant_csv_out,3,24809.567741534385,0.8507156212315738,1.6178021933965852,53.66375760150934,1.0
historical_inertia,sequential/hopper_csv_out,3,36216.79076777959,3.543741643195401,4.51149020233137,8.990057511597474,1.0
historical_inertia,sequential/spriteworld,3,370.1374455264776,3.5639962109375,4.077020083259664,-2.310426652354345,1.0
historical_inertia,sequential/walker2d_csv_out,3,788.0333460293745,6.930573774117785,8.75108139815673,-10.130755274954893,1.0
historical_inertia,sequential/cheetah_csv_out,3,984.5221349454105,8.4108996340511,10.436339311971432,-93.18032037059548,1.0
historical_inertia,sequential/openwebtext_timeseries_csvs,3,451.82985268543007,1.0082918136914063,1.4191728280805869,-4.418361503500222,1.0
historical_inertia,synthetic/synthetic_scm/large_convlag_synin_s,3,3969.3566886788867,1.6895698403835937,2.029480208466003,-3.0504604969420206,1.0
historical_inertia,synthetic/synthetic_scm/medium_convlag_synin_s,3,432.0685102319403,1.1077805992591145,1.2339900005341258,-3.267067551443027,1.0
historical_inertia,synthetic/synthetic_scm/medium_obslag_synin_s,3,448.2569400399722,1.568750429163711,1.7974745414627875,-2.3461048285185395,1.0
historical_inertia,synthetic/synthetic_scm/tiny_convlag_synin_ns,3,196.36775739129868,1.089948621109375,1.3062420735175473,-1.458082318990164,1.0
historical_inertia,synthetic/synthetic_scm/tiny_obslag_synin_ns,3,729.0823604574325,1.090275062024349,1.3366021257110658,-17.7110635999051,1.0
historical_inertia,synthetic/dynamic_data_csvs,3,146.50007845234651,0.9520874441490212,1.266244807899926,27.208024217545983,1.0
historical_inertia,traditional/solar_alabama,3,252.25550854148415,7.595052083333333,11.298438248692,1.944084397418445,1.0
historical_inertia,traditional/ecl,3,131.92203690957464,8.89977263113367,10.816167167533608,0.7553489590751498,1.0
historical_inertia,traditional/ny_electricity2025,3,12.202307305641176,1877.6348086842847,2233.139235299924,0.12157331031619907,1.0
historical_inertia,traditional/daily_electricity/al_daily,3,14.872064318467897,99423.4953137937,127437.4288496838,0.15393997163773884,1.0
historical_inertia,traditional/daily_electricity/az_daily,3,36.001428158685165,12009.884384831925,13746.416737779864,0.3221041595724307,1.0
historical_inertia,traditional/daily_electricity/cal_daily,3,16.267604555838144,131509.26328862392,160187.520586892,0.1700489889203611,1.0
historical_inertia,traditional/daily_electricity/car_daily,3,13.862052506600719,91122.65600264946,117168.05238669517,0.14715372202871935,1.0
historical_inertia,traditional/daily_electricity/co_daily,3,11.628985239041763,14607.91962245405,17391.524082342617,0.11712425238672852,1.0
historical_inertia,traditional/daily_electricity/ne_daily,3,11.944314145117923,40915.320251697296,51379.86380395339,0.12538719207358937,1.0
historical_inertia,traditional/daily_electricity/nm_daily,3,9.87727226294452,4200.496671634376,5219.201992888577,0.10486385657829778,1.0
historical_inertia,traditional/daily_electricity/ny_daily,3,11.413424173626483,50831.74694485842,63578.932585279115,0.12027958290439651,1.0
historical_inertia,traditional/daily_electricity/pa_daily,3,11.82955606386689,273669.29173704254,330268.73989228415,0.12297415328060479,1.0
historical_inertia,traditional/daily_electricity/tn_daily,3,12.856001389846112,61103.451597946674,80850.74347788752,0.13656880421676743,1.0
historical_inertia,traditional/daily_electricity/tx_daily,3,18.341685575784435,214975.62278522935,258600.4678581108,0.1888733106572533,1.0
historical_inertia,traditional/ercot_load,3,18.304693978277566,1402.5104291524337,1807.7139807312676,0.1786396050899823,1.0
historical_inertia,traditional/mds_microgrid,3,69.36686019530595,0.12578125,0.15831446040206854,-0.5884794834443324,1.0
historical_inertia,traditional/europe_electricity/central_electricity,3,12.581155197510222,0.4495291005291005,0.5388513639538534,0.12715531124641535,1.0
historical_inertia,traditional/europe_electricity/eastern_electricity,3,13.985109496436545,0.236432350718065,0.295241560688012,0.13196020175399847,1.0
historical_inertia,traditional/europe_electricity/northern_electricity,3,20.83673626967658,1.6491005291005287,1.9120769600973657,0.20459978804295723,1.0
historical_inertia,traditional/europe_electricity/southern_electricity,3,10.306583492128246,2.519960317460317,3.074225281133971,0.10349263713917865,1.0
historical_inertia,traditional/europe_electricity/western_electricity,3,11.685954225645967,1.7013756613756614,2.051291765936039,0.11341379568158583,1.0
historical_inertia,traditional/hourly_electricity/az_electricity,3,13.027521525412096,1532.9181305662757,1993.085352908761,0.13288815106624882,1.0
historical_inertia,traditional/hourly_electricity/id_electricity,3,13.829601683787779,224.92459251931413,268.58280177233684,0.1344961911540993,1.0
historical_inertia,traditional/hourly_electricity/pa_electricity,3,9.44869926380425,7760.292753085548,9696.13018378608,0.09296814927147075,1.0
historical_inertia,traditional/hourly_electricity/tx_electricity,3,11.69817770447459,5654.290943859526,6576.893735121215,0.11743444885255938,1.0
historical_inertia,traditional/hourly_electricity/cal_electricity,3,13.12570069380979,3430.7518975527605,4143.942495924599,0.1275194525874978,1.0
historical_inertia,traditional/hourly_electricity/ne_electricity,3,16.991382099545348,2023.8654930987375,2466.7104837994193,0.16881482676888546,1.0
historical_inertia,traditional/hourly_electricity/se_electricity,3,12.815741360173584,2781.6166472347845,3399.8734024994314,0.12357233811530409,1.0
historical_inertia,traditional/hourly_electricity/car_electricity,3,13.146707792971677,2740.8446524048427,3367.740397193616,0.12791591920846987,1.0
