model,category,datasets,windows,MAPE,MAE,RMSE,NMAE
linear_regression_univariate,sequential,8,24,15975.524200864951,51.00849319057635,64.6481069387393,-2.672984911575173
linear_regression_univariate,synthetic,6,18,1713.7936713236907,1.4109175096649063,1.6226842830626902,1.1367247566721304
linear_regression_univariate,traditional,70,202,308.22272776461705,6762274.958289291,8778901.198187063,0.5771237727986112
linear_regression_univariate,collections,2,6,70.65752026795028,447.8015998182485,833.405507665956,0.6662560255919008
