model,category,datasets,windows,MAPE,MAE,RMSE,NMAE
exponential_smoothing,sequential,8,24,10813.058841024264,31.021884262888786,40.5668232819887,-2.5508391600465146
exponential_smoothing,synthetic,6,18,776.4373861201915,1.097610904886771,1.349263437068368,1.1330441654811196
exponential_smoothing,traditional,70,202,378.25156244602556,6245903.975569704,8241561.373046364,1.4651873454992672
exponential_smoothing,collections,2,6,58.31867498103858,384.52091387821963,673.2676831118538,0.47257929988729397
