model,category,datasets,windows,MAPE,MAE,RMSE,NMAE
linear_trend,sequential,8,24,15975.52420086495,51.00849319057635,64.64810693873929,-2.6729849115751723
linear_trend,synthetic,6,18,1713.7936713236898,1.410917509664906,1.6226842830626902,1.1367247566721315
linear_trend,traditional,70,202,308.2227499844177,6762274.95467045,8778901.196448535,0.5770809926856493
linear_trend,collections,2,6,70.65752026795023,447.80159981824846,833.4055076659558,0.6662560255919008
