model,dataset,windows,MAPE,MAE,RMSE,NMAE,univariate
chronos,sequential/cifar100_timeseries_csvs,100,2047.698513335752,4.497550500378836,5.317361083393689,30.794948096003655,1.0
chronos,sequential/KITTI,100,62.51004421757751,25.11038887287658,31.6507049294694,0.09156012369858221,1.0
chronos,sequential/ant_csv_out,100,32522.62698060226,0.790896361084313,1.3526883518200237,-682.1553692620334,1.0
chronos,sequential/hopper_csv_out,100,37367.29031221069,7.430332265684854,8.455104959625471,-48.08013927642487,1.0
chronos,sequential/spriteworld,100,602.5011874911845,2.784953107147929,3.230761155196175,1.713542540764474,1.0
chronos,sequential/walker2d_csv_out,100,13604.530460689639,7.315751767337999,8.499330920204397,10.62353124022643,1.0
chronos,sequential/cheetah_csv_out,100,727.6868131095639,7.3324219768886305,8.663784420967447,229.48857890459453,1.0
chronos,sequential/openwebtext_timeseries_csvs,100,260.15350418909094,1.2898995401920355,1.5374641973645677,-6.056138921437824,1.0
chronos,synthetic/synthetic_scm/large_convlag_synin_s,100,1253.1891338208425,1.2723934188138373,1.4513956614953114,-7.387866025169991,1.0
chronos,synthetic/synthetic_scm/medium_convlag_synin_s,100,879.8291810327273,1.2684672435474023,1.4823649240860097,-0.6527536293099138,1.0
chronos,synthetic/synthetic_scm/medium_obslag_synin_s,100,625.6062855104785,1.1749938876958839,1.3943132248599017,2.534265451277067,1.0
chronos,synthetic/synthetic_scm/tiny_convlag_synin_ns,100,827.8527924615092,1.0387533491161909,1.230984131904795,-19.673548752887346,1.0
chronos,synthetic/synthetic_scm/tiny_obslag_synin_ns,100,433.3037165551969,0.8974130480638446,1.09608197113616,20.588430064347595,1.0
chronos,synthetic/dynamic_data_csvs,100,693.8073736215903,6.303419576150648,7.056664352290579,-2.4411516282320256,1.0
chronos,traditional/solar_alabama,100,764.6127801058292,8.493840793264088,9.4740819043055,1.6872077139237631,1.0
chronos,traditional/ecl,0,,,,,
chronos,traditional/ny_electricity2025,21,13.215265631048117,2291.854930134355,2726.106861865163,0.12585523222967132,1.0
chronos,traditional/daily_electricity/al_daily,10,20.848544745115284,123222.50208674865,141447.97421146947,0.19165324671834655,1.0
chronos,traditional/daily_electricity/az_daily,10,52.657345608918476,14862.67697750244,16226.947903754339,0.46110617752702154,1.0
chronos,traditional/daily_electricity/cal_daily,10,15.982220423039,114478.44052347243,126031.28323447684,0.15584008380342443,1.0
chronos,traditional/daily_electricity/car_daily,10,19.570102535070944,110406.4788269995,128575.30058149705,0.18017921182305047,1.0
chronos,traditional/daily_electricity/co_daily,10,11.577034117820562,13408.197827403128,16342.983977280091,0.10511628059454296,1.0
chronos,traditional/daily_electricity/ne_daily,10,13.713067189326306,42199.18491430701,48708.40096126378,0.13005808097600446,1.0
chronos,traditional/daily_electricity/nm_daily,10,11.833098549706353,4661.804335491182,5824.011678020625,0.11705220852432954,1.0
chronos,traditional/daily_electricity/ny_daily,10,13.353408401609078,53138.597328924494,60707.482250727946,0.12631856738208624,1.0
chronos,traditional/daily_electricity/pa_daily,10,14.131101407053887,294680.2525360159,344582.62228605786,0.13355423440567182,1.0
chronos,traditional/daily_electricity/tn_daily,10,22.17812425411234,92253.85480098112,104403.67676623145,0.20695465469225843,1.0
chronos,traditional/daily_electricity/tx_daily,8,21.83300812379937,228678.90060078242,254931.3250148348,0.2054650341341937,1.0
chronos,traditional/ercot_load,100,16.748777702854863,1649.2532720895726,1913.0424165385455,0.15625765837287436,1.0
chronos,traditional/mds_microgrid,100,45.51654044178294,0.11695890559372493,0.14535400463069195,-0.5766403615528214,1.0
chronos,traditional/europe_electricity/central_electricity,10,15.539672411618312,1.1828462547799827,1.2953034794558684,0.149070915083621,1.0
chronos,traditional/europe_electricity/eastern_electricity,11,45.18873169991797,0.6010753818461247,0.6916339793176415,0.3821125451559925,1.0
chronos,traditional/europe_electricity/northern_electricity,6,15.985510828376464,0.8885474283046676,1.0406214015634465,0.14763759486342973,1.0
chronos,traditional/europe_electricity/southern_electricity,5,10.978478356273266,1.7909692494727214,1.9732246336509465,0.10821855531577589,1.0
chronos,traditional/europe_electricity/western_electricity,6,14.742405904990298,2.120033924221097,2.41403464893684,0.13951158407340136,1.0
chronos,traditional/hourly_electricity/az_electricity,21,14.423415611981357,1967.7191873069196,2267.0443560276003,0.1366334767389114,1.0
chronos,traditional/hourly_electricity/id_electricity,21,13.003653162608837,288.6284264999384,337.756459746036,0.12541203125355344,1.0
chronos,traditional/hourly_electricity/pa_electricity,21,14.877387234033936,14397.399988626305,16391.937179105713,0.1433130593175089,1.0
chronos,traditional/hourly_electricity/tx_electricity,21,19.34757253663493,9987.041337676632,11068.180728157173,0.18407892142520943,1.0
chronos,traditional/hourly_electricity/cal_electricity,21,10.774674205572875,3107.4987154107257,3765.5386004530424,0.10250638561026164,1.0
chronos,traditional/hourly_electricity/ne_electricity,21,18.574770295021573,2320.041318361355,2727.621264277113,0.17372858757857162,1.0
chronos,traditional/hourly_electricity/se_electricity,21,20.127036637240142,5201.2421294272835,6031.332211647679,0.18431826849625355,1.0
chronos,traditional/hourly_electricity/car_electricity,21,23.806333521102857,5918.934647740725,6730.489880319952,0.2174709919549024,1.0
chronos,traditional/hourly_electricity/or_electricity,21,12.695065378872883,319.0991616325808,381.6692538356373,0.12113217609593879,1.0
chronos,traditional/hourly_electricity/tn_electricity,21,23.935786241790254,4452.883649538551,4979.898006615028,0.22203547473435817,1.0
chronos,traditional/aus_electricity_nsw,100,268.6169975686564,92.80324006409644,137.65670517474126,1.774423653425367,1.0
chronos,traditional/aus_electricity_qld,100,181.77312011543916,59.5400805943016,107.89554736044379,1.2815576662122092,1.0
chronos,traditional/fl_electricity,8,25.18003762196475,155467.6528455663,169592.53372533625,0.23865107982438097,1.0
chronos,traditional/walmart-sales,25,107.0729798885052,618442.1892618437,719274.186705888,0.5880824104588824,1.0
chronos,traditional/rice_prices,2,23.28497200034513,35.997387401506145,56.37889373102698,0.2991122297860467,1.0
chronos,traditional/blow_molding,1,43.82318215168746,24.252995374726087,29.364457359717445,0.3320386711290657,1.0
chronos,traditional/gold_prices,1,206.4099198137836,16960.93113606771,20025.64856825889,0.8705350153092856,1.0
chronos,traditional/pasta_sales,70,144.61484733152938,3.3943062359650567,4.753945987846073,1.2245205076056307,1.0
chronos,traditional/bitcoin_price,11,70.93336512127348,8807178357.606024,10510098138.327694,0.6824054742519076,1.0
chronos,traditional/gas_sensor,100,1.0152038042808136,9.307891504570442,10.064633759510858,0.04755937815375216,1.0
chronos,traditional/oikolab_weather,100,37.685315268808274,4.391197819934786,5.077352183021458,0.30974491428557843,1.0
chronos,traditional/beijing_embassy,100,353.3972050374113,108.68619780903683,121.30162560908877,1.6668781428086392,1.0
chronos,traditional/weather_mpi,100,382.66718516632505,98.98853086228036,110.37469531418257,0.6616623174717072,1.0
chronos,traditional/causalrivers,100,108.05621520095846,0.28970793341070417,0.329162880492331,0.7573124136292031,1.0
chronos,traditional/open_aq,39,1608.1547772479705,23.759740081275904,27.39307647058843,6.490919416984162,1.0
chronos,traditional/beijing_aq,100,547.0464484632499,105.15900917717036,115.98111436166994,1.5124111657977333,1.0
chronos,traditional/traffic_PeMS,100,223.34705918120784,0.03240863033932503,0.04155797950549047,0.6288146113272233,1.0
chronos,traditional/paris_mobility,14,14.194859441520803,14926.720399402437,19676.642807562283,0.12403714048315152,1.0
chronos,traditional/blue_bikes,83,715.5472770977735,315.9530251666689,375.77443244503297,0.7748721013583562,1.0
chronos,traditional/tac,13,6551.100571298279,0.15851920906208974,0.16681025916617093,3.5453385302736793,1.0
chronos,traditional/mta_ridership,10,31.99233955484351,620426.2089468455,800609.4355367593,0.23324457880522959,1.0
chronos,traditional/austin_water,1,23.47560468015241,422208660.0,471730521.8904404,0.2153242619875513,1.0
chronos,traditional/mn_interstate,100,262.93707192315014,2069.351221456958,2553.0551263879665,0.6483756938918803,1.0
chronos,traditional/rideshare/lyft,100,97.88571418654311,13.559942134982098,15.47950514658611,0.9962940857578702,1.0
chronos,traditional/rideshare/uber,100,97.84805278031439,10.65174994216552,12.143232581488858,0.9962359712053214,1.0
chronos,traditional/cursor-tabs,2,722.9851377131567,46.35756132278168,56.285063757398916,2.0685014210553248,1.0
chronos,traditional/ev-sensors,100,47.21939740208748,20.52808758942073,24.043325816736044,0.33958385483243253,1.0
chronos,traditional/voip,37,1.2823813933082246,0.055155687163056466,0.05822055340365329,0.012825198258549818,1.0
chronos,traditional/fred_md/fred_md1,3,83.39002681172319,4902.71907733602,5574.463273370974,0.5026327505246059,1.0
chronos,traditional/fred_md/fred_md2,3,51.39573704695075,2.5074409718626174,2.8117267552921787,0.4275485071733704,1.0
chronos,traditional/fred_md/fred_md3,3,33.848194330854604,372.9173599370156,456.68784132705883,0.26014879308409955,1.0
chronos,traditional/fred_md/fred_md4,3,19.10348865812822,14.060034589386108,17.83667293702258,0.16599940130707816,1.0
chronos,traditional/fred_md/fred_md5,3,2497.729969688638,1204.671536665939,1273.426581686643,1.822193937655985,1.0
chronos,traditional/fred_md/fred_md6,3,1137.908888674997,4.283539090257033,4.995586436994182,0.875827636375425,1.0
chronos,traditional/fred_md/fred_md7,3,112.48410375444557,75.26842382404419,86.80446265560182,0.5309136557198574,1.0
chronos,traditional/fred_md/fred_md8,3,990.4482999575745,1579.4701483907147,1749.8244131069657,1.5333029431491927,1.0
chronos,traditional/sleep_lab,100,9.101234255293853,6.464456666962267,7.515278446020783,0.088353951771635,1.0
chronos,traditional/cgm,32,89.66746224336882,95.24846429603122,106.5776561441813,0.6476727753287088,1.0
chronos,traditional/website_visitors,9,44.323680342573134,1317.4878371197794,1591.9520178069438,0.3329977360266494,1.0
chronos,collections/stock_nasdaqtrader,100,249.85229845518776,93.35023135736928,94.06041505078362,1.587545923123256,1.0
chronos,collections/wikipedia,100,107.00799365117459,759.023834030634,1704.3538271241505,0.8351846110882717,1.0
